"identifiant";"Prenom";"Nom";"Region";"Departement";"Numero de circonscription";"Profession";"Groupe politique (complet)";"Groupe politique (abrege)"
"642868";"Paul";"Christophe";"Hauts-de-France";"Nord";"14";"Fonctionnaire de categorie A";"Horizons et apparentes";"HOR"
"719146";"Jean-Felix";"Acquaviva";"Corse";"Haute-Corse";"2";"Cadre";"Libertes, Independants, Outre-mer et Territoires";"LIOT"
"795692";"William";"Martinet";"Ile-de-France";"Yvelines";"11";"Cadre administratif";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"795050";"Astrid";"Panosyan-Bouvet";"Ile-de-France";"Paris";"4";"Cadre administratif et commercial d'entreprise";"Renaissance";"RE"
"719412";"Sandrine";"Le Feur";"Bretagne";"Finistere";"4";"Agriculteur-proprietaire exploitant";"Renaissance";"RE"
"720414";"Patrice";"Perrot";"Bourgogne-Franche-Comte";"Nievre";"2";"Industriel-Chef d'entreprise";"Renaissance";"RE"
"721960";"Daniele";"Obono";"Ile-de-France";"Paris";"17";"Bibliothecaire";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"794938";"Idir";"Boumertit";"Auvergne-Rhône-Alpes";"Rhône";"14";"Employe administratif d'entreprise";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"795950";"David";"Amiel";"Ile-de-France";"Paris";"13";"Sans profession declaree";"Renaissance";"RE"
"720764";"Florence";"Lasserre";"Nouvelle-Aquitaine";"Pyrenees-Atlantiques";"5";"Employee du secteur prive";"Democrate (MoDem et Independants)";"Dem"
"793608";"Katiana";"Levavasseur";"Normandie";"Eure";"2";"Ouvrier de type industriel";"Rassemblement National";"RN"
"793190";"Laurence";"Heydel Grillere";"Auvergne-Rhône-Alpes";"Ardeche";"2";"Ingenieur agronome";"Renaissance";"RE"
"795828";"Johnny";"Hajjar";"Martinique";"Martinique";"3";"Professeur du second degre";"Socialistes et apparentes (membre de l’intergroupe NUPES)";"SOC"
"793548";"Caroline";"Colombier";"Nouvelle-Aquitaine";"Charente";"3";"Avocate / Ancien cadre ";"Rassemblement National";"RN"
"720976";"Max";"Mathiasin";"Guadeloupe";"Guadeloupe";"3";"Fonction publique territoriale";"Libertes, Independants, Outre-mer et Territoires";"LIOT"
"793872";"Nathalie";"Oziol";"Occitanie";"Herault";"2";"Professeur, profession scientifique";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"720822";"Bruno";"Bilde";"Hauts-de-France";"Pas-de-Calais";"12";"Juriste";"Rassemblement National";"RN"
"718926";"Pierre";"Dharreville";"Provence-Alpes-Côte d'Azur";"Bouches-du-Rhône";"13";"Employe (secteur prive)";"Gauche democrate et republicaine - NUPES";"GDR - NUPES"
"722102";"Annie";"Vidal";"Normandie";"Seine-Maritime";"2";"Retraitee de la fonction publique hospitaliere";"Renaissance";"RE"
"722292";"Thomas";"Rudigoz";"Auvergne-Rhône-Alpes";"Rhône";"1";"Sans profession declaree";"Renaissance";"RE"
"720362";"Belkhir";"Belhaddad";"Grand Est";"Moselle";"1";"Industriel-Chef d'entreprise";"Renaissance";"RE"
"793672";"Christine";"Loir";"Normandie";"Eure";"1";"Profession intermediaire de la sante et du travail social";"Rassemblement National";"RN"
"718884";"Valerie";"Bazin-Malgras";"Grand Est";"Aube";"2";"Commerçante";"Les Republicains";"LR"
"609590";"Valerie";"Rabault";"Occitanie";"Tarn-et-Garonne";"1";"Ingenieure";"Socialistes et apparentes (membre de l’intergroupe NUPES)";"SOC"
"608416";"Patrick";"Hetzel";"Grand Est";"Bas-Rhin";"7";"Professeur des Universites";"Les Republicains";"LR"
"605694";"Olivier";"Falorni";"Nouvelle-Aquitaine";"Charente-Maritime";"1";"Professeur du secondaire";"Democrate (MoDem et Independants)";"Dem"
"794530";"Matthieu";"Marchio";"Hauts-de-France";"Nord";"16";"Cadre administratif et commercial d'entreprise";"Rassemblement National";"RN"
"794114";"Emmanuel";"Mandon";"Auvergne-Rhône-Alpes";"Loire";"3";"Conseiller d'insertion professionnelle";"Democrate (MoDem et Independants)";"Dem"
"643192";"Chantal";"Jourdan";"Normandie";"Orne";"1";"Psychologue";"Socialistes et apparentes (membre de l’intergroupe NUPES)";"SOC"
"793500";"Benoît";"Bordat";"Bourgogne-Franche-Comte";"Côte-d'Or";"2";"Conseiller foncier agricole";"Renaissance";"RE"
"721678";"Robin";"Reda";"Ile-de-France";"Essonne";"7";"";"Renaissance";"RE"
"720370";"Ludovic";"Mendes";"Grand Est";"Moselle";"2";"Cadre superieur (secteur prive)";"Renaissance";"RE"
"791812";"Sophia";"Chikirou";"Ile-de-France";"Paris";"6";"Chef d'entreprise de 10 salaries ou plus";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"720430";"Ugo";"Bernalicis";"Hauts-de-France";"Nord";"2";"Fonctionnaire de categorie A";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"722054";"Nadia";"Hai";"Ile-de-France";"Yvelines";"7";"Conseil en gestion de patrimoine";"Renaissance";"RE"
"720022";"Michel";"Lauzzana";"Nouvelle-Aquitaine";"Lot-et-Garonne";"1";"Medecin";"Renaissance";"RE"
"793314";"Alexandra";"Masson";"Provence-Alpes-Côte d'Azur";"Alpes-Maritimes";"4";"Profession liberale";"Rassemblement National";"RN"
"795966";"Stephane";"Rambaud";"Provence-Alpes-Côte d'Azur";"Var";"3";"Retraite de la police nationale";"Rassemblement National";"RN"
"795508";"emilie";"Chandler";"Ile-de-France";"Val-d'Oise";"1";"Profession liberale";"Renaissance";"RE"
"793416";"Freddy";"Sertin";"Normandie";"Calvados";"6";"Directeur General d'un etablissement de sante";"Renaissance";"RE"
"794870";"Sylvie";"Ferrer";"Occitanie";"Hautes-Pyrenees";"1";"";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"793624";"Philippe";"Brun";"Normandie";"Eure";"4";"Magistrat administratif";"Socialistes et apparentes (membre de l’intergroupe NUPES)";"SOC"
"608016";"Veronique";"Louwagie";"Normandie";"Orne";"2";"Expert-comptable";"Les Republicains";"LR"
"643134";"Isabelle";"Valentin";"Auvergne-Rhône-Alpes";"Haute-Loire";"1";"Salariee agricole";"Les Republicains";"LR"
"718710";"Pascale";"Boyer";"Provence-Alpes-Côte d'Azur";"Hautes-Alpes";"1";"Contremaître, agent de maîtrise";"Renaissance";"RE"
"722142";"François";"Ruffin";"Hauts-de-France";"Somme";"1";"Reporter";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"794458";"Martine";"Etienne";"Grand Est";"Meurthe-et-Moselle";"3";"Ancien employe";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"795318";"Louis";"Boyard";"Ile-de-France";"Val-de-Marne";"3";"Eleve, etudiant";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"608172";"Christine";"Pires Beaune";"Auvergne-Rhône-Alpes";"Puy-de-Dôme";"2";"Fonctionnaire de categorie A";"Socialistes et apparentes (membre de l’intergroupe NUPES)";"SOC"
"793452";"Hendrik";"Davi";"Provence-Alpes-Côte d'Azur";"Bouches-du-Rhône";"5";"Professeur, profession scientifique";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
